Fecha,Serial,energia
2017+AC0-05+AC0-11 00:00:00 +AC0-0600,121523007433,765
2017+AC0-05+AC0-12 00:00:00 +AC0-0600,121523007433,720
2017+AC0-05+AC0-13 00:00:00 +AC0-0600,121523007433,980
2017+AC0-05+AC0-14 00:00:00 +AC0-0600,121523007433,1033
2017+AC0-05+AC0-15 00:00:00 +AC0-0600,121523007433,1129
2017+AC0-05+AC0-16 00:00:00 +AC0-0600,121523007433,715
2017+AC0-05+AC0-17 00:00:00 +AC0-0600,121523007433,970
2017+AC0-05+AC0-18 00:00:00 +AC0-0600,121523007433,1398
2017+AC0-05+AC0-19 00:00:00 +AC0-0600,121523007433,1183
2017+AC0-05+AC0-20 00:00:00 +AC0-0600,121523007433,1387
2017+AC0-05+AC0-21 00:00:00 +AC0-0600,121523007433,585
2017+AC0-05+AC0-22 00:00:00 +AC0-0600,121523007433,911
2017+AC0-05+AC0-23 00:00:00 +AC0-0600,121523007433,1513
2017+AC0-05+AC0-24 00:00:00 +AC0-0600,121523007433,1326
2017+AC0-05+AC0-25 00:00:00 +AC0-0600,121523007433,1358
2017+AC0-05+AC0-26 00:00:00 +AC0-0600,121523007433,745
2017+AC0-05+AC0-27 00:00:00 +AC0-0600,121523007433,1449
2017+AC0-05+AC0-28 00:00:00 +AC0-0600,121523007433,957
2017+AC0-05+AC0-29 00:00:00 +AC0-0600,121523007433,980
2017+AC0-05+AC0-30 00:00:00 +AC0-0600,121523007433,925
2017+AC0-05+AC0-31 00:00:00 +AC0-0600,121523007433,1297
2017+AC0-06+AC0-01 00:00:00 +AC0-0600,121523007433,1250
2017+AC0-06+AC0-02 00:00:00 +AC0-0600,121523007433,1221
2017+AC0-06+AC0-03 00:00:00 +AC0-0600,121523007433,808
2017+AC0-06+AC0-04 00:00:00 +AC0-0600,121523007433,1247
2017+AC0-06+AC0-05 00:00:00 +AC0-0600,121523007433,1234
2017+AC0-06+AC0-06 00:00:00 +AC0-0600,121523007433,1423
2017+AC0-06+AC0-07 00:00:00 +AC0-0600,121523007433,629
2017+AC0-06+AC0-08 00:00:00 +AC0-0600,121523007433,1100
2017+AC0-06+AC0-09 00:00:00 +AC0-0600,121523007433,1255
2017+AC0-06+AC0-10 00:00:00 +AC0-0600,121523007433,1009
2017+AC0-06+AC0-11 00:00:00 +AC0-0600,121523007433,541
2017+AC0-06+AC0-12 00:00:00 +AC0-0600,121523007433,1135
2017+AC0-06+AC0-13 00:00:00 +AC0-0600,121523007433,609
2017+AC0-06+AC0-14 00:00:00 +AC0-0600,121523007433,1061
2017+AC0-06+AC0-15 00:00:00 +AC0-0600,121523007433,784
2017+AC0-06+AC0-16 00:00:00 +AC0-0600,121523007433,1214
2017+AC0-06+AC0-17 00:00:00 +AC0-0600,121523007433,1199
2017+AC0-06+AC0-18 00:00:00 +AC0-0600,121523007433,1015
2017+AC0-06+AC0-19 00:00:00 +AC0-0600,121523007433,1142
2017+AC0-06+AC0-20 00:00:00 +AC0-0600,121523007433,1111
2017+AC0-06+AC0-21 00:00:00 +AC0-0600,121523007433,836
2017+AC0-06+AC0-22 00:00:00 +AC0-0600,121523007433,761
2017+AC0-06+AC0-23 00:00:00 +AC0-0600,121523007433,1682
2017+AC0-06+AC0-24 00:00:00 +AC0-0600,121523007433,1127
2017+AC0-06+AC0-25 00:00:00 +AC0-0600,121523007433,1671
2017+AC0-06+AC0-26 00:00:00 +AC0-0600,121523007433,780
2017+AC0-06+AC0-27 00:00:00 +AC0-0600,121523007433,1036
2017+AC0-06+AC0-28 00:00:00 +AC0-0600,121523007433,1165
2017+AC0-06+AC0-29 00:00:00 +AC0-0600,121523007433,836
2017+AC0-06+AC0-30 00:00:00 +AC0-0600,121523007433,1371
2017+AC0-07+AC0-01 00:00:00 +AC0-0600,121523007433,965
2017+AC0-07+AC0-02 00:00:00 +AC0-0600,121523007433,545
2017+AC0-07+AC0-03 00:00:00 +AC0-0600,121523007433,1358
2017+AC0-07+AC0-04 00:00:00 +AC0-0600,121523007433,941
2017+AC0-07+AC0-05 00:00:00 +AC0-0600,121523007433,930
2017+AC0-07+AC0-06 00:00:00 +AC0-0600,121523007433,1641
2017+AC0-07+AC0-07 00:00:00 +AC0-0600,121523007433,1042
2017+AC0-07+AC0-08 00:00:00 +AC0-0600,121523007433,1317
2017+AC0-07+AC0-09 00:00:00 +AC0-0600,121523007433,649
2017+AC0-07+AC0-10 00:00:00 +AC0-0600,121523007433,793
2017+AC0-07+AC0-11 00:00:00 +AC0-0600,121523007433,854
2017+AC0-07+AC0-12 00:00:00 +AC0-0600,121523007433,855
2017+AC0-07+AC0-13 00:00:00 +AC0-0600,121523007433,1097
2017+AC0-07+AC0-14 00:00:00 +AC0-0600,121523007433,1277
2017+AC0-07+AC0-15 00:00:00 +AC0-0600,121523007433,1484
2017+AC0-07+AC0-16 00:00:00 +AC0-0600,121523007433,1500
2017+AC0-07+AC0-17 00:00:00 +AC0-0600,121523007433,1309
2017+AC0-07+AC0-18 00:00:00 +AC0-0600,121523007433,1014
2017+AC0-07+AC0-19 00:00:00 +AC0-0600,121523007433,767
2017+AC0-07+AC0-20 00:00:00 +AC0-0600,121523007433,1413
2017+AC0-07+AC0-21 00:00:00 +AC0-0600,121523007433,1266
2017+AC0-07+AC0-22 00:00:00 +AC0-0600,121523007433,1499
2017+AC0-07+AC0-23 00:00:00 +AC0-0600,121523007433,1218
2017+AC0-07+AC0-24 00:00:00 +AC0-0600,121523007433,1015
2017+AC0-07+AC0-25 00:00:00 +AC0-0600,121523007433,705
2017+AC0-07+AC0-26 00:00:00 +AC0-0600,121523007433,829
2017+AC0-07+AC0-27 00:00:00 +AC0-0600,121523007433,1378
2017+AC0-07+AC0-28 00:00:00 +AC0-0600,121523007433,989
2017+AC0-07+AC0-29 00:00:00 +AC0-0600,121523007433,1180
2017+AC0-07+AC0-30 00:00:00 +AC0-0600,121523007433,1243
2017+AC0-07+AC0-31 00:00:00 +AC0-0600,121523007433,986
2017+AC0-08+AC0-01 00:00:00 +AC0-0600,121523007433,1147
2017+AC0-08+AC0-02 00:00:00 +AC0-0600,121523007433,1575
2017+AC0-08+AC0-03 00:00:00 +AC0-0600,121523007433,1566
2017+AC0-08+AC0-04 00:00:00 +AC0-0600,121523007433,1563
2017+AC0-08+AC0-05 00:00:00 +AC0-0600,121523007433,1370
2017+AC0-08+AC0-06 00:00:00 +AC0-0600,121523007433,1126
2017+AC0-08+AC0-07 00:00:00 +AC0-0600,121523007433,1435
2017+AC0-08+AC0-08 00:00:00 +AC0-0600,121523007433,1212
2017+AC0-08+AC0-09 00:00:00 +AC0-0600,121523007433,879
2017+AC0-08+AC0-10 00:00:00 +AC0-0600,121523007433,1066
2017+AC0-08+AC0-11 00:00:00 +AC0-0600,121523007433,1228
2017+AC0-08+AC0-12 00:00:00 +AC0-0600,121523007433,1100
2017+AC0-08+AC0-13 00:00:00 +AC0-0600,121523007433,1086
2017+AC0-08+AC0-14 00:00:00 +AC0-0600,121523007433,1486
2017+AC0-08+AC0-15 00:00:00 +AC0-0600,121523007433,1397
2017+AC0-08+AC0-16 00:00:00 +AC0-0600,121523007433,1097
2017+AC0-08+AC0-17 00:00:00 +AC0-0600,121523007433,1129
2017+AC0-08+AC0-18 00:00:00 +AC0-0600,121523007433,1253
2017+AC0-08+AC0-19 00:00:00 +AC0-0600,121523007433,1110
2017+AC0-08+AC0-20 00:00:00 +AC0-0600,121523007433,1339
2017+AC0-08+AC0-21 00:00:00 +AC0-0600,121523007433,1320
2017+AC0-08+AC0-22 00:00:00 +AC0-0600,121523007433,1556
2017+AC0-08+AC0-23 00:00:00 +AC0-0600,121523007433,1280
2017+AC0-08+AC0-24 00:00:00 +AC0-0600,121523007433,731
2017+AC0-08+AC0-25 00:00:00 +AC0-0600,121523007433,816
2017+AC0-08+AC0-26 00:00:00 +AC0-0600,121523007433,1353
2017+AC0-08+AC0-27 00:00:00 +AC0-0600,121523007433,1370
2017+AC0-08+AC0-28 00:00:00 +AC0-0600,121523007433,1453
2017+AC0-08+AC0-29 00:00:00 +AC0-0600,121523007433,1133
2017+AC0-08+AC0-30 00:00:00 +AC0-0600,121523007433,1634
2017+AC0-08+AC0-31 00:00:00 +AC0-0600,121523007433,982
2017+AC0-09+AC0-01 00:00:00 +AC0-0600,121523007433,1571
2017+AC0-09+AC0-02 00:00:00 +AC0-0600,121523007433,1387
2017+AC0-09+AC0-03 00:00:00 +AC0-0600,121523007433,1259
2017+AC0-09+AC0-04 00:00:00 +AC0-0600,121523007433,1294
2017+AC0-09+AC0-05 00:00:00 +AC0-0600,121523007433,1223
2017+AC0-09+AC0-06 00:00:00 +AC0-0600,121523007433,1490
2017+AC0-09+AC0-07 00:00:00 +AC0-0600,121523007433,1237
2017+AC0-09+AC0-08 00:00:00 +AC0-0600,121523007433,1172
2017+AC0-09+AC0-09 00:00:00 +AC0-0600,121523007433,859
2017+AC0-09+AC0-10 00:00:00 +AC0-0600,121523007433,586
2017+AC0-09+AC0-11 00:00:00 +AC0-0600,121523007433,860
2017+AC0-09+AC0-12 00:00:00 +AC0-0600,121523007433,1332
2017+AC0-09+AC0-13 00:00:00 +AC0-0600,121523007433,1454
2017+AC0-09+AC0-14 00:00:00 +AC0-0600,121523007433,1189
2017+AC0-09+AC0-15 00:00:00 +AC0-0600,121523007433,1181
2017+AC0-09+AC0-16 00:00:00 +AC0-0600,121523007433,1399
2017+AC0-09+AC0-17 00:00:00 +AC0-0600,121523007433,1122
2017+AC0-09+AC0-18 00:00:00 +AC0-0600,121523007433,770
2017+AC0-09+AC0-19 00:00:00 +AC0-0600,121523007433,898
2017+AC0-09+AC0-20 00:00:00 +AC0-0600,121523007433,965
2017+AC0-09+AC0-21 00:00:00 +AC0-0600,121523007433,1033
2017+AC0-09+AC0-22 00:00:00 +AC0-0600,121523007433,824
2017+AC0-09+AC0-23 00:00:00 +AC0-0600,121523007433,1184
2017+AC0-09+AC0-24 00:00:00 +AC0-0600,121523007433,824
2017+AC0-09+AC0-25 00:00:00 +AC0-0600,121523007433,1182
2017+AC0-09+AC0-26 00:00:00 +AC0-0600,121523007433,894
2017+AC0-09+AC0-27 00:00:00 +AC0-0600,121523007433,803
2017+AC0-09+AC0-28 00:00:00 +AC0-0600,121523007433,1154
2017+AC0-09+AC0-29 00:00:00 +AC0-0600,121523007433,1059
2017+AC0-09+AC0-30 00:00:00 +AC0-0600,121523007433,909
2017+AC0-10+AC0-01 00:00:00 +AC0-0600,121523007433,1006
2017+AC0-10+AC0-02 00:00:00 +AC0-0600,121523007433,929
2017+AC0-10+AC0-03 00:00:00 +AC0-0600,121523007433,584
2017+AC0-10+AC0-04 00:00:00 +AC0-0600,121523007433,776
2017+AC0-10+AC0-05 00:00:00 +AC0-0600,121523007433,530
2017+AC0-10+AC0-06 00:00:00 +AC0-0600,121523007433,1152
2017+AC0-10+AC0-07 00:00:00 +AC0-0600,121523007433,1369
2017+AC0-10+AC0-08 00:00:00 +AC0-0600,121523007433,1155
2017+AC0-03+AC0-21 00:00:00 +AC0-0600,121523009083,0
2017+AC0-03+AC0-22 00:00:00 +AC0-0600,121523009083,184
2017+AC0-03+AC0-23 00:00:00 +AC0-0600,121523009083,777
2017+AC0-03+AC0-24 00:00:00 +AC0-0600,121523009083,990
2017+AC0-03+AC0-25 00:00:00 +AC0-0600,121523009083,1649
2017+AC0-03+AC0-26 00:00:00 +AC0-0600,121523009083,1648
2017+AC0-03+AC0-27 00:00:00 +AC0-0600,121523009083,1668
2017+AC0-03+AC0-28 00:00:00 +AC0-0600,121523009083,1597
2017+AC0-03+AC0-29 00:00:00 +AC0-0600,121523009083,1563
2017+AC0-03+AC0-30 00:00:00 +AC0-0600,121523009083,1570
2017+AC0-03+AC0-31 00:00:00 +AC0-0600,121523009083,1649
2017+AC0-04+AC0-01 00:00:00 +AC0-0600,121523009083,1440
2017+AC0-04+AC0-02 00:00:00 +AC0-0600,121523009083,1058
2017+AC0-04+AC0-03 00:00:00 +AC0-0600,121523009083,1560
2017+AC0-04+AC0-04 00:00:00 +AC0-0600,121523009083,1474
2017+AC0-04+AC0-05 00:00:00 +AC0-0600,121523009083,1000
2017+AC0-04+AC0-06 00:00:00 +AC0-0600,121523009083,1215
2017+AC0-04+AC0-07 00:00:00 +AC0-0600,121523009083,1082
2017+AC0-04+AC0-08 00:00:00 +AC0-0600,121523009083,856
2017+AC0-04+AC0-09 00:00:00 +AC0-0600,121523009083,1451
2017+AC0-04+AC0-10 00:00:00 +AC0-0600,121523009083,1634
2017+AC0-04+AC0-11 00:00:00 +AC0-0600,121523009083,1720
2017+AC0-04+AC0-12 00:00:00 +AC0-0600,121523009083,1718
2017+AC0-04+AC0-13 00:00:00 +AC0-0600,121523009083,1734
2017+AC0-04+AC0-14 00:00:00 +AC0-0600,121523009083,1214
2017+AC0-04+AC0-15 00:00:00 +AC0-0600,121523009083,1676
2017+AC0-04+AC0-16 00:00:00 +AC0-0600,121523009083,1356
2017+AC0-04+AC0-17 00:00:00 +AC0-0600,121523009083,994
2017+AC0-04+AC0-18 00:00:00 +AC0-0600,121523009083,1337
2017+AC0-04+AC0-19 00:00:00 +AC0-0600,121523009083,921
2017+AC0-04+AC0-20 00:00:00 +AC0-0600,121523009083,987
2017+AC0-04+AC0-21 00:00:00 +AC0-0600,121523009083,1331
2017+AC0-04+AC0-22 00:00:00 +AC0-0600,121523009083,1314
2017+AC0-04+AC0-23 00:00:00 +AC0-0600,121523009083,1398
2017+AC0-04+AC0-24 00:00:00 +AC0-0600,121523009083,1542
2017+AC0-04+AC0-25 00:00:00 +AC0-0600,121523009083,1435
2017+AC0-04+AC0-26 00:00:00 +AC0-0600,121523009083,1151
2017+AC0-04+AC0-27 00:00:00 +AC0-0600,121523009083,1395
2017+AC0-04+AC0-28 00:00:00 +AC0-0600,121523009083,1385
2017+AC0-04+AC0-29 00:00:00 +AC0-0600,121523009083,1506
2017+AC0-04+AC0-30 00:00:00 +AC0-0600,121523009083,1321
2017+AC0-05+AC0-01 00:00:00 +AC0-0600,121523009083,1450
2017+AC0-05+AC0-02 00:00:00 +AC0-0600,121523009083,906
2017+AC0-05+AC0-03 00:00:00 +AC0-0600,121523009083,1338
2017+AC0-05+AC0-04 00:00:00 +AC0-0600,121523009083,1169
2017+AC0-05+AC0-05 00:00:00 +AC0-0600,121523009083,1079
2017+AC0-05+AC0-06 00:00:00 +AC0-0600,121523009083,1103
2017+AC0-05+AC0-07 00:00:00 +AC0-0600,121523009083,1208
2017+AC0-05+AC0-08 00:00:00 +AC0-0600,121523009083,1350
2017+AC0-05+AC0-09 00:00:00 +AC0-0600,121523009083,1004
2017+AC0-05+AC0-10 00:00:00 +AC0-0600,121523009083,1289
2017+AC0-05+AC0-11 00:00:00 +AC0-0600,121523009083,774
2017+AC0-05+AC0-12 00:00:00 +AC0-0600,121523009083,728
2017+AC0-05+AC0-13 00:00:00 +AC0-0600,121523009083,991
2017+AC0-05+AC0-14 00:00:00 +AC0-0600,121523009083,1040
2017+AC0-05+AC0-15 00:00:00 +AC0-0600,121523009083,1142
2017+AC0-05+AC0-16 00:00:00 +AC0-0600,121523009083,721
2017+AC0-05+AC0-17 00:00:00 +AC0-0600,121523009083,978
2017+AC0-05+AC0-18 00:00:00 +AC0-0600,121523009083,1409
2017+AC0-05+AC0-19 00:00:00 +AC0-0600,121523009083,1192
2017+AC0-05+AC0-20 00:00:00 +AC0-0600,121523009083,1398
2017+AC0-05+AC0-21 00:00:00 +AC0-0600,121523009083,593
2017+AC0-05+AC0-22 00:00:00 +AC0-0600,121523009083,920
2017+AC0-05+AC0-23 00:00:00 +AC0-0600,121523009083,1523
2017+AC0-05+AC0-24 00:00:00 +AC0-0600,121523009083,1338
2017+AC0-05+AC0-25 00:00:00 +AC0-0600,121523009083,1372
2017+AC0-05+AC0-26 00:00:00 +AC0-0600,121523009083,757
2017+AC0-05+AC0-27 00:00:00 +AC0-0600,121523009083,1462
2017+AC0-05+AC0-28 00:00:00 +AC0-0600,121523009083,970
2017+AC0-05+AC0-29 00:00:00 +AC0-0600,121523009083,990
2017+AC0-05+AC0-30 00:00:00 +AC0-0600,121523009083,937
2017+AC0-05+AC0-31 00:00:00 +AC0-0600,121523009083,1308
2017+AC0-06+AC0-01 00:00:00 +AC0-0600,121523009083,1260
2017+AC0-06+AC0-02 00:00:00 +AC0-0600,121523009083,1235
2017+AC0-06+AC0-03 00:00:00 +AC0-0600,121523009083,819
2017+AC0-06+AC0-04 00:00:00 +AC0-0600,121523009083,1260
2017+AC0-06+AC0-05 00:00:00 +AC0-0600,121523009083,1243
2017+AC0-06+AC0-06 00:00:00 +AC0-0600,121523009083,1436
2017+AC0-06+AC0-07 00:00:00 +AC0-0600,121523009083,638
2017+AC0-06+AC0-08 00:00:00 +AC0-0600,121523009083,1107
2017+AC0-06+AC0-09 00:00:00 +AC0-0600,121523009083,1267
2017+AC0-06+AC0-10 00:00:00 +AC0-0600,121523009083,1019
2017+AC0-06+AC0-11 00:00:00 +AC0-0600,121523009083,551
2017+AC0-06+AC0-12 00:00:00 +AC0-0600,121523009083,1149
2017+AC0-06+AC0-13 00:00:00 +AC0-0600,121523009083,620
2017+AC0-06+AC0-14 00:00:00 +AC0-0600,121523009083,1071
2017+AC0-06+AC0-15 00:00:00 +AC0-0600,121523009083,793
2017+AC0-06+AC0-16 00:00:00 +AC0-0600,121523009083,1231
2017+AC0-06+AC0-17 00:00:00 +AC0-0600,121523009083,1211
2017+AC0-06+AC0-18 00:00:00 +AC0-0600,121523009083,1026
2017+AC0-06+AC0-19 00:00:00 +AC0-0600,121523009083,1150
2017+AC0-06+AC0-20 00:00:00 +AC0-0600,121523009083,1122
2017+AC0-06+AC0-21 00:00:00 +AC0-0600,121523009083,851
2017+AC0-06+AC0-22 00:00:00 +AC0-0600,121523009083,773
2017+AC0-06+AC0-23 00:00:00 +AC0-0600,121523009083,1694
2017+AC0-06+AC0-24 00:00:00 +AC0-0600,121523009083,1139
2017+AC0-06+AC0-25 00:00:00 +AC0-0600,121523009083,1686
2017+AC0-06+AC0-26 00:00:00 +AC0-0600,121523009083,792
2017+AC0-06+AC0-27 00:00:00 +AC0-0600,121523009083,1046
2017+AC0-06+AC0-28 00:00:00 +AC0-0600,121523009083,1176
2017+AC0-06+AC0-29 00:00:00 +AC0-0600,121523009083,849
2017+AC0-06+AC0-30 00:00:00 +AC0-0600,121523009083,1382
2017+AC0-07+AC0-01 00:00:00 +AC0-0600,121523009083,979
2017+AC0-07+AC0-02 00:00:00 +AC0-0600,121523009083,554
2017+AC0-07+AC0-03 00:00:00 +AC0-0600,121523009083,1371
2017+AC0-07+AC0-04 00:00:00 +AC0-0600,121523009083,948
2017+AC0-07+AC0-05 00:00:00 +AC0-0600,121523009083,941
2017+AC0-07+AC0-06 00:00:00 +AC0-0600,121523009083,1654
2017+AC0-07+AC0-07 00:00:00 +AC0-0600,121523009083,1050
2017+AC0-07+AC0-08 00:00:00 +AC0-0600,121523009083,1331
2017+AC0-07+AC0-09 00:00:00 +AC0-0600,121523009083,660
2017+AC0-07+AC0-10 00:00:00 +AC0-0600,121523009083,804
2017+AC0-07+AC0-11 00:00:00 +AC0-0600,121523009083,864
2017+AC0-07+AC0-12 00:00:00 +AC0-0600,121523009083,863
2017+AC0-07+AC0-13 00:00:00 +AC0-0600,121523009083,1108
2017+AC0-07+AC0-14 00:00:00 +AC0-0600,121523009083,1292
2017+AC0-07+AC0-15 00:00:00 +AC0-0600,121523009083,1496
2017+AC0-07+AC0-16 00:00:00 +AC0-0600,121523009083,1513
2017+AC0-07+AC0-17 00:00:00 +AC0-0600,121523009083,1318
2017+AC0-07+AC0-18 00:00:00 +AC0-0600,121523009083,1028
2017+AC0-07+AC0-19 00:00:00 +AC0-0600,121523009083,777
2017+AC0-07+AC0-20 00:00:00 +AC0-0600,121523009083,1426
2017+AC0-07+AC0-21 00:00:00 +AC0-0600,121523009083,1276
2017+AC0-07+AC0-22 00:00:00 +AC0-0600,121523009083,1514
2017+AC0-07+AC0-23 00:00:00 +AC0-0600,121523009083,1230
2017+AC0-07+AC0-24 00:00:00 +AC0-0600,121523009083,1028
2017+AC0-07+AC0-25 00:00:00 +AC0-0600,121523009083,717
2017+AC0-07+AC0-26 00:00:00 +AC0-0600,121523009083,843
2017+AC0-07+AC0-27 00:00:00 +AC0-0600,121523009083,1391
2017+AC0-07+AC0-28 00:00:00 +AC0-0600,121523009083,999
2017+AC0-07+AC0-29 00:00:00 +AC0-0600,121523009083,1191
2017+AC0-07+AC0-30 00:00:00 +AC0-0600,121523009083,1257
2017+AC0-07+AC0-31 00:00:00 +AC0-0600,121523009083,994
2017+AC0-08+AC0-01 00:00:00 +AC0-0600,121523009083,1158
2017+AC0-08+AC0-02 00:00:00 +AC0-0600,121523009083,1585
2017+AC0-08+AC0-03 00:00:00 +AC0-0600,121523009083,1579
2017+AC0-08+AC0-04 00:00:00 +AC0-0600,121523009083,1575
2017+AC0-08+AC0-05 00:00:00 +AC0-0600,121523009083,1379
2017+AC0-08+AC0-06 00:00:00 +AC0-0600,121523009083,1135
2017+AC0-08+AC0-07 00:00:00 +AC0-0600,121523009083,1442
2017+AC0-08+AC0-08 00:00:00 +AC0-0600,121523009083,1222
2017+AC0-08+AC0-09 00:00:00 +AC0-0600,121523009083,887
2017+AC0-08+AC0-10 00:00:00 +AC0-0600,121523009083,1077
2017+AC0-08+AC0-11 00:00:00 +AC0-0600,121523009083,1239
2017+AC0-08+AC0-12 00:00:00 +AC0-0600,121523009083,1109
2017+AC0-08+AC0-13 00:00:00 +AC0-0600,121523009083,1104
2017+AC0-08+AC0-14 00:00:00 +AC0-0600,121523009083,1494
2017+AC0-08+AC0-15 00:00:00 +AC0-0600,121523009083,1408
2017+AC0-08+AC0-16 00:00:00 +AC0-0600,121523009083,1107
2017+AC0-08+AC0-17 00:00:00 +AC0-0600,121523009083,1138
2017+AC0-08+AC0-18 00:00:00 +AC0-0600,121523009083,1263
2017+AC0-08+AC0-19 00:00:00 +AC0-0600,121523009083,1118
2017+AC0-08+AC0-20 00:00:00 +AC0-0600,121523009083,1349
2017+AC0-08+AC0-21 00:00:00 +AC0-0600,121523009083,1328
2017+AC0-08+AC0-22 00:00:00 +AC0-0600,121523009083,1570
2017+AC0-08+AC0-23 00:00:00 +AC0-0600,121523009083,1293
2017+AC0-08+AC0-24 00:00:00 +AC0-0600,121523009083,739
2017+AC0-08+AC0-25 00:00:00 +AC0-0600,121523009083,823
2017+AC0-08+AC0-26 00:00:00 +AC0-0600,121523009083,1362
2017+AC0-08+AC0-27 00:00:00 +AC0-0600,121523009083,1380
2017+AC0-08+AC0-28 00:00:00 +AC0-0600,121523009083,1466
2017+AC0-08+AC0-29 00:00:00 +AC0-0600,121523009083,1142
2017+AC0-08+AC0-30 00:00:00 +AC0-0600,121523009083,1647
2017+AC0-08+AC0-31 00:00:00 +AC0-0600,121523009083,991
2017+AC0-09+AC0-01 00:00:00 +AC0-0600,121523009083,1582
2017+AC0-09+AC0-02 00:00:00 +AC0-0600,121523009083,1399
2017+AC0-09+AC0-03 00:00:00 +AC0-0600,121523009083,1272
2017+AC0-09+AC0-04 00:00:00 +AC0-0600,121523009083,1308
2017+AC0-09+AC0-05 00:00:00 +AC0-0600,121523009083,1233
2017+AC0-09+AC0-06 00:00:00 +AC0-0600,121523009083,1504
2017+AC0-09+AC0-07 00:00:00 +AC0-0600,121523009083,1250
2017+AC0-09+AC0-08 00:00:00 +AC0-0600,121523009083,1181
2017+AC0-09+AC0-09 00:00:00 +AC0-0600,121523009083,869
2017+AC0-09+AC0-10 00:00:00 +AC0-0600,121523009083,594
2017+AC0-09+AC0-11 00:00:00 +AC0-0600,121523009083,871
2017+AC0-09+AC0-12 00:00:00 +AC0-0600,121523009083,1345
2017+AC0-09+AC0-13 00:00:00 +AC0-0600,121523009083,1467
2017+AC0-09+AC0-14 00:00:00 +AC0-0600,121523009083,1198
